date,equity,cash,open_positions
2025-08-15,48275.05,48275.05,0
2025-08-18,48275.05,48275.05,0
2025-08-19,48275.05,48275.05,0
2025-08-20,48275.05,48275.05,0
2025-08-21,48275.05,48275.05,0
2025-08-22,48275.05,48275.05,0
2025-08-25,48275.05,48275.05,0
2025-08-26,48275.05,48275.05,0
2025-08-27,48275.05,48275.05,0
2025-08-28,48275.05,48275.05,0
2025-08-29,48275.05,48275.05,0
2025-09-02,48275.05,48275.05,0
2025-09-03,48275.05,48275.05,0
2025-09-04,48275.05,48275.05,0
2025-09-05,48275.05,48275.05,0
2025-09-08,48275.05,48275.05,0
2025-09-09,48275.05,48275.05,0
2025-09-10,48275.05,48275.05,0
2025-09-11,48275.05,48275.05,0
2025-09-12,48275.05,48275.05,0
2025-09-15,48275.05,48275.05,0
2025-09-16,48275.05,48275.05,0
2025-09-17,48275.05,48275.05,0
2025-09-18,48275.05,48275.05,0
2025-09-19,48275.05,48275.05,0
2025-09-22,48275.05,48275.05,0
2025-09-23,48275.05,48275.05,0
2025-09-24,48275.05,48275.05,0
2025-09-25,48275.05,48275.05,0
2025-09-26,48275.05,48275.05,0
2025-09-29,48275.05,48275.05,0
2025-09-30,48275.05,48275.05,0
2025-10-01,48275.05,48275.05,0
2025-10-02,48275.05,48275.05,0
2025-10-03,48275.05,48275.05,0
2025-10-06,48275.05,48275.05,0
2025-10-07,48275.05,48275.05,0
2025-10-08,48275.05,48275.05,0
2025-10-09,48275.05,48275.05,0
2025-10-10,48275.05,48275.05,0
2025-10-13,48275.05,48275.05,0
2025-10-14,48275.05,48275.05,0
2025-10-15,48275.05,48275.05,0
2025-10-16,48275.05,48275.05,0
2025-10-17,48275.05,48275.05,0
2025-10-20,48275.05,48275.05,0
2025-10-21,48275.05,48275.05,0
2025-10-22,48275.05,48275.05,0
2025-10-23,48275.05,48275.05,0
2025-10-24,48275.05,48275.05,0
2025-10-27,48275.05,48275.05,0
2025-10-28,48275.05,48275.05,0
2025-10-29,48275.05,48275.05,0
2025-10-30,48275.05,48275.05,0
2025-10-31,48275.05,48275.05,0
2025-11-03,48275.05,48275.05,0
2025-11-04,48275.05,48275.05,0
2025-11-05,48275.05,48275.05,0
2025-11-06,48275.05,48275.05,0
2025-11-07,48275.05,48275.05,0
2025-11-10,48275.05,48275.05,0
2025-11-11,48275.05,48275.05,0
2025-11-12,48275.05,48275.05,0
2025-11-13,48275.05,48275.05,0
2025-11-14,48275.05,48275.05,0
2025-11-17,48275.05,48275.05,0
2025-11-18,48275.05,48275.05,0
2025-11-19,48275.05,48275.05,0
2025-11-20,48275.05,48275.05,0
2025-11-21,48275.05,48275.05,0
2025-11-24,48275.05,48275.05,0
2025-11-25,48275.05,48275.05,0
2025-11-26,48275.05,48275.05,0
2025-11-28,48275.05,48275.05,0
2025-12-01,48275.05,48275.05,0
2025-12-02,48275.05,48275.05,0
2025-12-03,48275.05,48275.05,0
2025-12-04,48275.05,48275.05,0
2025-12-05,48275.05,48275.05,0
2025-12-08,48275.05,48275.05,0
2025-12-09,48275.05,48275.05,0
2025-12-10,48275.05,48275.05,0
2025-12-11,48275.05,48275.05,0
2025-12-12,48275.05,48275.05,0
2025-12-15,48275.05,48275.05,0
2025-12-16,48275.05,48275.05,0
2025-12-17,48275.05,48275.05,0
2025-12-18,48275.05,48275.05,0
2025-12-19,48275.05,48275.05,0
2025-12-22,48275.05,48275.05,0
2025-12-23,48275.05,48275.05,0
2025-12-24,48275.05,48275.05,0
2025-12-26,48275.05,48275.05,0
2025-12-29,48275.05,48275.05,0
2025-12-30,48275.05,48275.05,0
2025-12-31,48275.05,48275.05,0
2026-01-02,48275.05,48275.05,0
2026-01-05,48275.05,48275.05,0
2026-01-06,48275.05,48275.05,0
2026-01-07,48275.05,48275.05,0
2026-01-08,48275.05,48275.05,0
2026-01-09,48275.05,48275.05,0
2026-01-12,48275.05,48275.05,0
2026-01-13,48275.05,48275.05,0
2026-01-14,48275.05,48275.05,0
2026-01-15,48275.05,48275.05,0
2026-01-16,48275.05,48275.05,0
2026-01-20,48275.05,48275.05,0
2026-01-21,48275.05,48275.05,0
2026-01-22,48275.05,48275.05,0
2026-01-23,48275.05,48275.05,0
2026-01-26,48275.05,48275.05,0
2026-01-27,48275.05,48275.05,0
2026-01-28,48275.05,48275.05,0
2026-01-29,48275.05,48275.05,0
2026-01-30,48275.05,48275.05,0
2026-02-02,48275.05,48275.05,0
2026-02-03,48275.05,48275.05,0
2026-02-04,48275.05,48275.05,0
2026-02-05,48275.05,48275.05,0
2026-02-06,48275.05,48275.05,0
2026-02-09,48275.05,48275.05,0
2026-02-10,48275.05,48275.05,0
2026-02-11,48275.05,48275.05,0
2026-02-12,48275.05,48275.05,0
2026-02-13,48275.05,48275.05,0
2026-02-17,48275.05,48275.05,0
2026-02-18,48275.05,48275.05,0
2026-02-19,48275.05,48275.05,0
2026-02-20,48275.05,48275.05,0
2026-02-23,48275.05,48275.05,0
2026-02-24,48275.05,48275.05,0
2026-02-25,48275.05,48275.05,0
2026-02-26,48275.05,48275.05,0
